Название;Описание;Артикул;Поставщик;Ссылка;Цена Each;Цена Case
EmsureIron for Analysis Reduced, Particle Size 10 Um 500G;Cas Number 7439-89-6;EM1.03819.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.03819.0500;$304.00;$5,816.00
N-Hexane;EMSURE* n-Hexane for analysis, ACS, Reagent Ph Eur, CAS number 110-54-3, Chemical formula CH3(CH2)4CH3;EM1.04374.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04374.6025;$1,224.00;Цена для Case не найдена
EMSURE* Potassium chromate for analysis 1kg;POTASSIUM CHROMATE FOR ANALYSI;EM1.04952.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04952.1000;$514.00;$6,041.00
EMSURE* Strontium nitrate for analysis 250g;STRONTIUM NITRATE FOR ANALYSIS;EM1.07872.0250;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07872.0250;$313.00;$21,929.00
EMSURE* Potassium sulfate for analysis 1kg;POTASSIUM SULFATE FOR ANALYSIS;EM1.05153.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05153.1000;$183.00;$1,087.00
EmsureIodine Sublimated for Analysis 500G;Grade - ACS ,Iso,Reagent pH Eur, Cas Number 7553-56-2;EM1.04761.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.04761.0500;$882.00;$5,046.00
EmsureZinc Granular for Analysis, Particle Size about 3-8 Mm;Cas Number: 7440-66-6, 500G;EM1.08780.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.08780.0500;$528.00;$10,225.00
EmsureZinc Granular for Analysis, Particle Size about 3-8 Mm;Cas Number: 7440-66-6, 1Kg;EM1.08780.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.08780.1000;$1,025.00;$19,694.00
Piperidine for AnalysisEMSURE* 500Ml;PIPERIDINE FOR ANALYSI (500ML);EM1.09724.0500;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09724.0500;$404.00;$2,316.00
Petroleum for AnalysisEMSURE* 25L;PETROLEUM FOR ANALYSIS E (25L);EM1.09718.6025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.09718.6025;$3,074.00;Цена для Case не найдена
EMSURE* Potassium perchlorate for analysis 1kg;POTASSIUM PERCHLORATE FOR ANAL;EM1.05076.1000;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.05076.1000;$443.00;$4,370.00
EmsureRubidium Chloride for Analysis;RUBIDIUM CHLORIDE FOR AN (25G);EM1.07615.0025;MilliporeSigma;https://us.vwr.com/store/catalog/product.jsp?catalog_number=EM1.07615.0025;$1,581.00;$66,963.00
